,word,attr,trans,marktimes,lasttime,have_learn
235,rectangular,n.,矩形的，成直角的,0,0,0
236,animated,adj.,活生生的；活泼的，生动的,0,0,0
237,annex,vt.,兼并，附加,0,0,0
238,annihilate,vt.,消灭；消减,0,0,0
239,announce,vt.,宣布，发表，通告,0,0,0
240,announcement,n.,宣告，发表,0,0,0
241,announcer,n.,广播员；报幕员,0,0,0
242,annoy,vt.,使恼怒；打扰,0,0,0
243,annoying,adj.,恼人的，讨厌的；使人愤怒的,0,0,0
244,annual,adj.,每年的,0,0,0
245,annually,adv.,一年一次，每年,0,0,0
246,anomaly,n.,异常，不规则；异常的人或物,0,0,0
247,anonymous,adj.,匿名的,0,0,0
248,anthem,n.,圣歌，赞美诗,0,0,0
249,anthology,n.,诗集，文选,0,0,0
250,anthropology,n.,人类学,0,0,0
251,antibiotic,adj.,抗菌的，抗生的,0,0,0
252,anticipate,vt.,预期，预料,0,0,0
253,anticipation,n.,期望，预料,0,0,0
254,antiquate,vt.,使古旧，废弃,0,0,0
255,antiquated,adj.,陈旧的，过时的,0,0,0
256,antique,n.,古董,0,0,0
257,antiquity,n.,古迹；古物,0,0,0
258,antiseptic,n.,防腐剂，杀菌剂,0,0,0
259,anxious,adj.,渴望的；担忧的,0,0,0
260,apologize,vi.,道歉,0,0,0
261,apology,n.,道歉，歉意,0,0,0
262,appeal,n.,吸引力,0,0,0
263,appealing,adj.,动人的，媚人的,0,0,0
264,appetite,n.,胃口，食欲,0,0,0
265,applaud,vi.,喝彩，欢呼,0,0,0
266,applicant,n.,申请人,0,0,0
267,apply,v.,应用，适用,0,0,0
268,application,n.,申请,0,0,0
269,appliance,n.,用具，器具,0,0,0
270,appoint,vt.,任命，选派,0,0,0
271,appointment,n.,约会,0,0,0
272,disappointment,n.,失望,0,0,0
273,apportion,vt.,（按比例或计划）分配,0,0,0
274,appraisal,n.,评价，估价,0,0,0
275,appreciable,adj.,(数量或变化)很大的，值得重视的,0,0,0
276,appreciate,vt.,赏识；鉴赏,0,0,0
277,appreciation,n.,欣赏；口味，兴趣,0,0,0
278,apprentice,n.,学徒,0,0,0
279,approach,n.,方法,0,0,0
280,approaching,adj.,接近的，逼近的,0,0,0
281,appropriate,adj.,适当的，恰当的,0,0,0
282,appropriation,n.,拨款,0,0,0
283,approve,vt.,批准,0,0,0
284,approval,n.,赞成，正式批准,0,0,0
285,disapproval,n.,不赞成,0,0,0
286,approximate,v.,接近，近似,0,0,0
287,approximately,adv.,近似地，大约,0,0,0
288,apt,adj.,恰当的，贴切的,0,0,0
289,aptly,adv.,适当地，得体地,0,0,0
290,aquatic,adj.,水生的，水栖的,0,0,0
291,aquarium,n.,水族馆,0,0,0
292,arbitrary,adj.,专横的，专制的，武断的,0,0,0
293,arboreal,adj.,树栖的；树的,0,0,0
294,arc,n.,弧形，拱形,0,0,0
295,archaeology,n.,考古学,0,0,0
296,archaeological,adj.,考古学的,0,0,0
297,archipelago,n.,群岛,0,0,0
298,architect,n.,建筑师,0,0,0
299,architecture,n.,建筑；建筑学,0,0,0
300,architectural,adj.,建筑上的；建筑学的,0,0,0
301,breakup,n.,分裂，分离,0,0,0
302,breathless,adj.,无声息的，喘不过气来的,0,0,0
303,breathing,n.,呼吸,0,0,0
304,breath,n.,呼吸，气息,0,0,0
305,breathe,v.,呼吸，呼出,0,0,0
306,breathtaking,adj.,令人激动的；惊人的,0,0,0
307,breed,vt.,养育，繁殖,0,0,0
308,crossbreeding,n.,异种交配，杂交,0,0,0
309,breeze,n.,微风,-1,2020-08-13,0
310,brighten,v.,点亮,0,0,0
311,brilliance,n.,聪明；辉煌,0,0,0
312,brilliantly,adv.,辉煌地，灿烂地,0,0,0
313,brim,n.,边；边缘,0,0,0
314,broad-brimmed,adj.,宽边的,0,0,0
315,briny,adj.,盐水的，咸的,0,0,0
316,brisk,adj.,活泼的，轻快的,0,0,0
317,briskness,n.,敏捷，活泼,0,0,0
318,brittle,adj.,易碎的,0,0,0
319,broaden,v.,放宽，变宽，扩大,0,0,0
320,brochure,n.,小册子,0,0,0
321,bronze,n.,青铜；铜像,0,0,0
322,sun-bronzed,adj.,被太阳晒成古铜色的,0,0,0
323,brook,n.,小河,0,0,0
324,brown,n./adj.,褐色（的），棕色（的）,0,0,0
325,brownish,adj.,成褐色的,0,0,0
326,bubble,n.,气泡，水泡,0,0,0
327,buckle,n.,皮带扣环,0,0,0
328,bud,n.,芽，蓓蕾,0,0,0
329,buddy,n.,密友，伙伴,0,0,0
330,budget,n.,预算,0,0,0
331,buggy,n.,小马车，童车,0,0,0
332,bulb,n.,球茎，球状物,0,0,0
333,bulk,n.,大批；大部分,0,0,0
334,bulky,adj.,庞大的，笨重的,0,0,0
335,bump,n.,肿块；突起,0,0,0
336,bunch,n.,串，束；群,0,0,0
337,bundle,n.,捆，束，包,0,0,0
338,burdensome,adj.,繁重的，劳累的,0,0,0
339,burgeon,vi.,迅速成长，发展,0,0,0
340,burning,n./adj.,燃烧（的）,0,0,0
341,burrow,n.,洞穴,0,0,0
342,bush,n.,矮树丛,0,0,0
343,bust,n.,半身像，半身雕像,0,0,0
344,combustion,n.,燃烧,0,0,0
345,combustible,adj.,易燃的,0,0,0
346,robust,adj.,精力充沛的,0,0,0
347,statue,n.,全身雕像,0,0,0
348,bustle,n.,喧闹，匆匆忙忙,0,0,0
349,butter,n.,奶油,0,0,0
350,buzz,n./v.,嗡嗡声；发出嗡嗡声,0,0,0
351,buzzer,n.,蜂鸣器,0,0,0
352,by-product,n.,副产品,0,0,0
353,cab,n.,出租马车、汽车,0,0,0
354,taxicab,n.,出租车,0,0,0
355,cabinetmaker,n.,家具师，细木工匠,0,0,0
356,cabin,n.,小屋；船舱,0,0,0
357,cacti,n.,（pl）仙人掌-单数cactus,0,0,0
358,cadence,n.,（语调的）抑扬顿挫,0,0,0
359,calculate,vt.,计算；估计,0,0,0
360,calculation,n.,计算，考虑,0,0,0
361,calculator,n.,计算器,0,0,0
362,calibration,n.,校准；标度，刻度,0,0,0
363,calm,adj.,（天气、海洋等）静的，平静的,0,0,0
364,campaign,n.,(政治或商业性)活动，竞选活动,0,0,0
365,championship,n.,锦标赛,0,0,0
366,cancel,vt.,取消,0,0,0
367,cancellation,n.,取消,0,0,0
368,candid,adj.,率直的，坦白的,0,0,0
369,candidate,n.,候选人,0,0,0
370,cannibalism,n.,同类相食,0,0,0
371,canopy,n.,天篷，遮篷,0,0,0
372,canvas,n.,帆布；画布,0,0,0
373,canyon,n.,峡谷,0,0,0
374,capability,n.,能力,0,0,0
375,capable,adj.,有能力的,0,0,0
376,capacity,n.,容量；能力,0,0,0
377,captivity,n.,囚禁，拘留,0,0,0
378,carapace,n.,（蟹或龟的）甲壳,0,0,0
379,carat,n.,（宝石重量单位）克拉,0,0,0
380,carbohydrate,n.,碳水化合物,0,0,0
381,cardiac,adj.,心脏的,0,0,0
382,cardinal,adj.,首要的，主要的,0,0,0
383,career,n.,生涯，职业,0,0,0
384,careerism,n.,野心，追求名利,0,0,0
385,careless,adj.,粗心的，疏忽的,0,0,0
386,carelessly,adv.,不注意地，粗心地,0,0,0
387,careful,adj.,小心的，仔细地,0,0,0
388,cargo,n.,货物,0,0,0
389,caricature,n.,讽刺画,0,0,0
390,carnival,n.,狂欢节,0,0,0
391,carnivorous,adj.,食肉的,0,0,0
392,carve,vt.,切开；雕刻,0,0,0
393,carver,n.,雕刻匠，雕工,0,0,0
394,carving,n.,雕刻品，雕花,0,0,0
395,cast,vt.,浇铸,0,0,0
396,casting,n.,铸件，铸造,0,0,0
397,cast-iron,adj.,铸铁的,0,0,0
398,forecast,n./vt.,预测，预报,0,0,0
399,broadcast,n./vt.,广播；传播,0,0,0
400,rebroadcast,vt.,重播,0,0,0
401,newscast,n.,新闻广播,0,0,0
402,overcast,adj.,阴天的，阴暗的,0,0,0
403,casual,adj.,非正式的，随便的；漫不经心的,0,0,0
404,catalyst,n.,催化剂；促使事情发展的因素,0,0,0
405,catalyze,vt.,促使；激励,0,0,0
406,catastrophe,n.,异常的灾祸,0,0,0
407,catching,adj.,传染的；有魅力的，迷人的,0,0,0
408,eye-catching,adj.,引人注目的，耀眼的,0,0,0
409,categorize,vt.,分类,0,0,0
410,category,n.,种类，类目；范畴,0,0,0
411,cater,vi.,满足需要，迎合,0,0,0
412,caterpillar,n.,毛虫,0,0,0
413,cathedral,n.,总教堂，大教堂,0,0,0
414,cause,vt.,导致，引起,0,0,0
415,cautious,adj.,小心的，谨慎的,0,0,0
416,cautiously,adv.,小心地，谨慎地,0,0,0
417,caution,n.,小心，谨慎,0,0,0
418,cavern,n.,大山洞，大洞穴,0,0,0
419,cavity,n.,洞；腔,0,0,0
420,cease,v.,停止，终止,0,0,0
421,ceaseless,adj.,不停的,0,0,0
422,celebrated,adj.,有名的，大名鼎鼎的,0,0,0
423,celebrate,vt.,庆祝，祝贺；表扬，赞美,0,0,0
424,celebrity,n.,名人,0,0,0
425,celestial,adj.,天体的；天上的,0,0,0
426,cell,n.,细胞，单人牢房，电池,0,0,0
427,cellist,n.,大提琴家,0,0,0
428,cello,n.,大提琴,0,0,0
429,census,n.,人口调查，人口普查,0,0,0
430,centennial,n.,百年纪念,0,0,0
431,centigrade,adj.,摄氏（温度）的,0,0,0
432,ceremonial,n.,仪式,0,0,0
433,ceremony,n.,典礼，仪式；礼节,0,0,0
434,chafe,vt.,（将皮肤等）擦热，擦破,0,0,0
435,chagrin,n.,懊恼，失望,0,0,0
436,chalk,n.,粉笔,0,0,0
437,chamber,n.,室；房间,0,0,0
438,champion,n.,冠军；拥护者,0,0,0
439,championship,n.,锦标赛,0,0,0
440,chaos,n.,混乱,0,0,0
441,chaotic,adj.,混乱的,0,0,0
442,chapel,n.,小礼拜堂,0,0,0
443,character,n.,角色；性格,0,0,0
444,characteristic,adj.,典型的，表现特征的，特有的,0,0,0
445,characterize,vt.,表现…的特色，刻画…的性格,0,0,0
446,charcoal,n.,炭；木炭,0,0,0
447,charitable,adj.,慈善事业的，慈善的；仁慈的,0,0,0
448,charter,v.,包租；特许,0,0,0
449,chart,n.,海图，图表,0,0,0
450,chaste,adj.,贞洁的；（思想、言论）朴素的,0,0,0
451,chat,vi.,闲谈,0,0,0
452,chateau,n.,城堡，高级旅馆,0,0,0
453,check,vt.,检查，核对；阻止，控制,0,0,0
454,checkup,n.,审查；身体检查,0,0,0
455,checkout,n.,检验，校验,0,0,0
456,paycheck,n.,付薪水的支票,0,0,0
457,chef,n.,厨师,0,0,0
458,cherish,v.,怀抱（希望等）；珍爱,0,0,0
459,chill,vt.,使冷，变冷；冷却,0,0,0
460,chilly,adj.,寒冷的,0,0,0
461,chilli,n.,红辣椒,0,0,0
462,chimpanzee,n.,黑猩猩,0,0,0
463,gorilla,n.,大猩猩,0,0,0
464,chisel,n.,凿子,0,0,0
465,chivalry,n.,骑士气概，侠义；献殷勤,0,0,0
466,choke,vt.,使窒息,0,0,0
467,chop,vt.,砍,0,0,0
468,choppy,adj.,"波浪起伏的,(风)不断改变方向的",0,0,0
469,chord,n.,琴弦，心弦,0,0,0
470,chore,n.,家务杂事,0,0,0
471,choreography,n.,舞蹈编排,0,0,0
472,choreograph,vt.,设计舞蹈动作,0,0,0
473,choreographer,n.,舞蹈指导,0,0,0
474,choreographic,adj.,舞蹈术的，舞台舞蹈的,0,0,0
475,chorus,n.,合唱团,0,0,0
476,chronic,adj.,长期的；慢性的,0,0,0
477,chronological,adj.,按年代顺序排列的,0,0,0
478,chronology,n.,年代学，年表,0,0,0
479,chubby,adj.,丰满的，圆胖的,0,0,0
480,chunk,n.,大块；矮胖的人或物,0,0,0
481,cider,n.,苹果酒，苹果汁,0,0,0
482,cipher,n.,密码,0,0,0
483,circuit,n.,电路,0,0,0
484,circular,adj.,循环的；圆的,0,0,0
485,circle,n.,圆周，圆形物,0,0,0
486,circulate,v.,（使）循环；（使）传播,0,0,0
487,circulation,n.,循环；流通,0,0,0
488,circumference,n.,圆周；周长,0,0,0
489,circumscribe,vt.,划界限；限制,0,0,0
490,circumstance,n.,环境，情况,0,0,0
491,citadel,n.,堡垒，要塞,0,0,0
492,cite,vt.,引用，举例,0,0,0
493,citizenship,n.,公民（的身份）,0,0,0
494,civil,adj.,公民的；市民的,0,0,0
495,civility,n.,彬彬有礼，斯文,0,0,0
496,civilization,n.,文明，文化,0,0,0
497,civilian,adj.,平民的；民用的,0,0,0
498,claim,n.,要求，要求权,0,0,0
499,clam,n.,蛤，蛤肉,0,0,0
500,clamor,n.,叫嚣，喧哗,0,0,0
501,reclamation,n.,开垦；改造；（废料等的）回收,0,0,0
502,clan,n.,家族，宗族,0,0,0
503,clap,n.,拍手声；霹雳声,0,0,0
504,clarify,vt.,澄清，阐明,0,0,0
505,clarification,n.,澄清，净化,0,0,0
506,classify,vt.,把…分类，分等级,0,0,0
507,classification,n.,分类，分级,0,0,0
508,clause,n.,分句；条款,0,0,0
509,clay,n.,粘土；泥土,0,0,0
510,clergy,n.,牧师,0,0,0
511,clergyman,n.,牧师，教士,0,0,0
512,cliff,n.,悬崖峭壁,0,0,0
513,climate,n.,气候；社会风气或趋势,0,0,0
514,climatic,adj.,气候上的,0,0,0
515,cling,vi.,粘紧，附着,0,0,0
516,clinic,n.,门诊所,0,0,0
517,clinical,adj.,临床的,0,0,0
518,clip,vt.,修剪,0,0,0
519,clockwise,adj./adv.,顺时针方向的（地）,0,0,0
520,counterclockwise,adj./adv.,逆时针方向的（地）,0,0,0
521,clog,vt.,障碍，阻塞,0,0,0
522,clumsy,adj.,笨拙的；愚笨的,0,0,0
523,cluster,n.,簇，串，群,0,0,0
524,clutch,v.,抓住，攫取,0,0,0
525,coalesce,vi.,联合，合并,0,0,0
526,coalescence,n.,合并，联合,0,0,0
527,coalition,n.,联合，同盟,0,0,0
528,coarse,adj.,粗糙的,0,0,0
529,coax,vt.,哄诱，巧言诱哄,0,0,0
530,codify,vt.,编成法典，编辑成书,0,0,0
531,coexist,vi.,同时存在，共存,0,0,0
532,cognitive,adj.,认知的；感知的,0,0,0
533,coherent,adj.,粘在一起的,0,0,0
534,coherence,n.,一致,0,0,0
535,cohesion,n.,附着（力），凝聚力,0,0,0
536,cohesive,adj.,粘着的,0,0,0
537,coil,n.,（一）卷；线圈,0,0,0
538,recoil,vi.,弹回，反冲,0,0,0
539,coin,n.,铸币,0,0,0
540,coinage,n.,造币，货币制度,0,0,0
541,coincide,vi.,同时发生；相符合，相巧合,0,0,0
542,coincident,adj.,一致的，巧合的,0,0,0
543,coincidence,n.,一致；同时发生或同时存在的事,0,0,0
544,collaborate,vi.,协作，合作,0,0,0
545,collaboration,n.,合作,0,0,0
546,collapse,n.,倒塌；崩溃，失败,0,0,0
547,colleague,n.,同事，同僚,0,0,0
548,collective,adj.,集体的，共同的,0,0,0
549,collide,vi.,碰撞；冲突,0,0,0
550,collision,n.,碰撞；冲突，抵触,0,0,0
551,colloquial,adj.,口语的，通俗语的,0,0,0
552,colloquialism,n.,俗话，白话，口语,0,0,0
553,colonize,vt.,建立殖民地，拓殖,0,0,0
554,colony,n.,殖民地；群体,0,0,0
555,colonial,adj.,殖民的，殖民地的,0,0,0
556,colonel,n.,陆军上校,0,0,0
557,colossal,adj.,巨大的,0,0,0
558,combination,n.,化和，组合,0,0,0
559,combine,v.,联合，结合,0,0,0
560,combustible,adj.,易燃的,0,0,0
561,combustion,n.,燃烧,0,0,0
562,comet,n.,彗星,0,0,0
563,cometary,adj.,彗星的，彗星似的,0,0,0
564,comic,adj.,滑稽的，好笑的；喜剧的,0,0,0
565,comical,adj.,滑稽的，好笑的,0,0,0
566,commander,n.,司令官，指挥员,0,0,0
567,commemorate,vt.,纪念,0,0,0
568,comment,n.,注释，评论,0,0,0
569,commentator,n.,评论员，讲解员,0,0,0
570,commentary,n.,注释，解说词,0,0,0
571,commerce,n.,商业,0,0,0
572,commercial,adj.,商业的，贸易的,0,0,0
573,commercialize,vt.,使商业化，使商品化,0,0,0
574,commission,vt.,委任，任命；委托，委托制作,0,0,0
575,commissioner,n.,委员，专员,0,0,0
576,committed,adj.,效忠的；忠于…的,0,0,0
577,commit,vt.,犯（错误），干（坏事）,0,0,0
578,committee,n.,委员会,0,0,0
579,commitment,n.,信奉，支持；许诺，承担义务,0,0,0
580,commodity,n.,商品，日用品,0,0,0
581,commonsense,adj.,具有常识的,0,0,0
582,commonplace,adj.,平凡的,0,0,0
583,communal,adj.,公共的；公社的,0,0,0
584,communicate,vt.,传达，沟通；通信,0,0,0
